housing_name,max_n,bedroom_n,bed_n,bathroom_n,washer,dryer,full_kitchen,available_start,available_end,price_month,location_name,link
maluhia_guest_house,12,5,5,3,yes,yes,yes,04/08/2021,05/06/2021,4709,"Volcano, Hawaii",https://www.airbnb.com/rooms/251343?adults=10&check_in=2021-04-08&check_out=2021-05-06&federated_search_id=4612e3d9-ac6c-424d-afe6-dd21f9971a70&source_impression_id=p3_1615170135_fCvosl81%2BOzFML0A&guests=1
updated_home,10,3,7,2,yes,yes,yes,04/11/2021,05/26/2021,6766,"Hilo, Hawaii",https://www.airbnb.com/rooms/21295148?adults=10&check_in=2021-04-15&check_out=2021-05-13&federated_search_id=3c7ab96f-099b-4bcc-92f7-fd6b0fd242ff&source_impression_id=p3_1615170350_%2BeZWXNLCYq%2FsYAzP&guests=1
dome_house,14,6,6,1,no,no,yes,05/21/2021,06/26/2021,4011,"Keaau, Hawaii",https://www.airbnb.com/rooms/41540131?adults=10&check_in=2021-05-21&check_out=2021-06-18&federated_search_id=4612e3d9-ac6c-424d-afe6-dd21f9971a70&source_impression_id=p3_1615170158_Y8lJDrQY%2FPCxGc0Y&guests=1
serene_property,6,2,4,1,yes,yes,yes,04/28/2021,07/05/2021,3486,"Volcano, Hawaii",https://www.airbnb.com/rooms/30960255?adults=6&check_in=2021-05-05&check_out=2021-06-02&federated_search_id=82d45080-450f-4743-abd3-1273a287d742&source_impression_id=p3_1615237596_6sckgShW83rkyFjL&guests=1
pearl_harbor,6,3,3,2,yes,yes,yes,5/13/2021,09/01/2021,4390,"Honolulu, Hawaii",https://www.airbnb.com/rooms/10974511?adults=6&check_in=2021-05-20&check_out=2021-06-19&federated_search_id=d4077d3e-4df1-47d1-83a8-71bebde733fe&source_impression_id=p3_1615237833_tajwzWgb8i3J2D1K&guests=1
ten_min_waikiki,9,3,5,2,yes,yes,yes,4/14/2021,6/6/2021,6847,"Honolulu, Hawaii",https://www.airbnb.com/s/Honolulu/homes?flexible_trip_dates%5B%5D=april&flexible_trip_dates%5B%5D=june&flexible_trip_dates%5B%5D=may&date_picker_type=flexible_dates&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_month&adults=6&source=structured_search_input_header&search_type=section_navigation&query=Honolulu&place_id=ChIJTUbDjDsYAHwRbJen81_1KEs&click_referer=t%3ASEE_ALL%7Csid%3A4ed436a8-3d80-43cb-bf9a-e22bf2da4f52%7Cst%3ASTAYS_LARGE_AREA_DESTINATION_CAROUSELS&title_type=NONE&last_search_session_id=4ed436a8-3d80-43cb-bf9a-e22bf2da4f52
luxury_single_house,8,4,4,2,yes,yes,yes,4/14/2021,6/1/2021,6611,"Honolulu, Hawaii",https://www.airbnb.com/rooms/48231933?adults=6&check_in=2021-04-12&check_out=2021-05-12&federated_search_id=d4077d3e-4df1-47d1-83a8-71bebde733fe&source_impression_id=p3_1615238202_uyIugec%2Fm9C%2B7ryz&guests=1
waikoloa_village_home,6,3,3,3,yes,yes,yes,5/2/2021,12/31/2021,4431,"Waikoloa Village, Hawaii",https://www.airbnb.com/rooms/11718107?adults=6&check_in=2021-05-09&check_out=2021-06-06&federated_search_id=51754169-0b97-41e7-97b5-a423693eb381&source_impression_id=p3_1615238412_NMiqWexL1eb8S%2B7g&guests=1
aloha_hideaway,6,3,5,2,yes,yes,yes,5/1/2021,6/2/2021,3743,"Pahoa, Hawaii",https://www.vrbo.com/1599045?adultsCount=6&arrival=2021-05-01&departure=2021-06-02&unitId=2160340
